"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2018",1323601.791,
"AUS","GDP","TOT","MLN_USD","A","2019",1335998.074,
"AUS","GDP","TOT","MLN_USD","A","2020",1429458.63,
"AUT","GDP","TOT","MLN_USD","A","2018",503557.209,
"AUT","GDP","TOT","MLN_USD","A","2019",515713.228,
"AUT","GDP","TOT","MLN_USD","A","2020",496544.035,
"BEL","GDP","TOT","MLN_USD","A","2018",600323.292,
"BEL","GDP","TOT","MLN_USD","A","2019",623602.985,
"BEL","GDP","TOT","MLN_USD","A","2020",612655.559,"P"
"CAN","GDP","TOT","MLN_USD","A","2018",1849252.231,
"CAN","GDP","TOT","MLN_USD","A","2019",1853244.739,
"CAN","GDP","TOT","MLN_USD","A","2020",1771474.029,
"CZE","GDP","TOT","MLN_USD","A","2018",437267.325,
"CZE","GDP","TOT","MLN_USD","A","2019",457257.666,
"CZE","GDP","TOT","MLN_USD","A","2020",445116.743,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",341312.248,
"DNK","GDP","TOT","MLN_USD","A","2020",351224.959,
"FIN","GDP","TOT","MLN_USD","A","2018",273463.021,
"FIN","GDP","TOT","MLN_USD","A","2019",277855.685,
"FIN","GDP","TOT","MLN_USD","A","2020",281659.079,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3300063.768,"P"
"FRA","GDP","TOT","MLN_USD","A","2020",3166263.45,"P"
"DEU","GDP","TOT","MLN_USD","A","2018",4579333.448,"P"
"DEU","GDP","TOT","MLN_USD","A","2019",4624364.577,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4560919.076,"P"
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",325467.101,"P"
"GRC","GDP","TOT","MLN_USD","A","2020",299066.319,"P"
"HUN","GDP","TOT","MLN_USD","A","2018",311968.304,
"HUN","GDP","TOT","MLN_USD","A","2019",327479.222,
"HUN","GDP","TOT","MLN_USD","A","2020",324429.847,"P"
"ISL","GDP","TOT","MLN_USD","A","2018",20177.371,
"ISL","GDP","TOT","MLN_USD","A","2019",20985.056,
"ISL","GDP","TOT","MLN_USD","A","2020",19564.131,
"IRL","GDP","TOT","MLN_USD","A","2018",411558.745,
"IRL","GDP","TOT","MLN_USD","A","2019",431161.036,
"IRL","GDP","TOT","MLN_USD","A","2020",465413.328,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2650548.961,
"ITA","GDP","TOT","MLN_USD","A","2020",2496156.66,
"JPN","GDP","TOT","MLN_USD","A","2018",5340832.208,
"JPN","GDP","TOT","MLN_USD","A","2019",5354366.278,
"JPN","GDP","TOT","MLN_USD","A","2020",5315620.636,
"KOR","GDP","TOT","MLN_USD","A","2018",2220442.286,
"KOR","GDP","TOT","MLN_USD","A","2019",2225803.915,
"KOR","GDP","TOT","MLN_USD","A","2020",2344337.686,"P"
"LUX","GDP","TOT","MLN_USD","A","2018",71109.236,
"LUX","GDP","TOT","MLN_USD","A","2019",72752.124,
"LUX","GDP","TOT","MLN_USD","A","2020",74292.466,
"MEX","GDP","TOT","MLN_USD","A","2018",2535949.668,
"MEX","GDP","TOT","MLN_USD","A","2019",2533977.005,"P"
"MEX","GDP","TOT","MLN_USD","A","2020",2407279.071,"P"
"NLD","GDP","TOT","MLN_USD","A","2018",996447.288,
"NLD","GDP","TOT","MLN_USD","A","2019",1023422.035,
"NLD","GDP","TOT","MLN_USD","A","2020",1033704.443,"P"
"NZL","GDP","TOT","MLN_USD","A","2018",208377.269,
"NZL","GDP","TOT","MLN_USD","A","2019",226826.5,
"NZL","GDP","TOT","MLN_USD","A","2020",227831.574,
